4 inter1 1 a 0 使唤 region1 1579
4 inter1 1 a 1 航空公司 region2 436
4 inter1 1 a 2 的 de1 404
4 inter1 1 a 3 飞行员 NP1 212
4 inter1 1 a 4 的 de2 196
4 inter1 1 a 5 顾客 NP2 2890
4 inter1 1 a 6 是加拿大人 end 188
4 inter1 1 a ? {b} 1 21731
4 inter1 2 a 0 写好了 region1 916
4 inter1 2 a 1 人物传记 region2 852
4 inter1 2 a 2 的 de1 196
4 inter1 2 a 3 作家 NP1 164
4 inter1 2 a 4 的 de2 396
4 inter1 2 a 5 出版社 NP2 171
4 inter1 2 a 6 成立100年了。 end 156
4 inter1 2 a ? {b} 1 1536
4 inter1 3 a 0 被 passive 164
4 inter1 3 a 1 读者 region1 156
4 inter1 3 a 2 烫伤 region2 148
4 inter1 3 a 3 的 de1 148
4 inter1 3 a 4 那个 dem 156
4 inter1 3 a 5 出版社 NP1 148
4 inter1 3 a 6 的 de2 148
4 inter1 3 a 7 作家 NP2 156
4 inter1 3 a 8 三十岁了。 end 164
4 inter1 3 a ? { b} 1 1306
4 inter1 4 a 0 娶了 region1 12
4 inter1 4 a 1 客户 region2 140
4 inter1 4 a 2 的 de1 156
4 inter1 4 a 3 公司 NP1 164
4 inter1 4 a 4 的 de2 172
4 inter1 4 a 5 总裁 NP2 180
4 inter1 4 a 6 离婚了。 end 172
4 inter1 4 a ? {b} 1 2163
4 inter1 5 a 0 嫁给了 region1 130
4 inter1 5 a 1 电视台 region2 148
4 inter1 5 a 2 的 de1 724
4 inter1 5 a 3 明星 NP1 180
4 inter1 5 a 4 的 de2 204
4 inter1 5 a 5 老板 NP2 180
4 inter1 5 a 6 播出了新闻。 end 172
4 inter1 5 a ? { b} 1 2593
4 inter1 6 a 0 被 passive 126
4 inter1 6 a 1 顾客 region1 156
4 inter1 6 a 2 打伤 region2 156
4 inter1 6 a 3 的 de1 148
4 inter1 6 a 4 健身教练 NP1 140
4 inter1 6 a 5 的 de2 148
4 inter1 6 a 6 健身房 NP2 156
4 inter1 6 a 7 每天都开。 end 156
4 inter1 6 a ? { b} 1 2252
4 inter1 7 a 0 被 passive 123
4 inter1 7 a 1 学生 region1 156
4 inter1 7 a 2 误伤 region2 156
4 inter1 7 a 3 的 de1 156
4 inter1 7 a 4 那个 dem 156
4 inter1 7 a 5 事务所 NP1 148
4 inter1 7 a 6 的 de2 156
4 inter1 7 a 7 会计 NP2 148
4 inter1 7 a 8 没有证书。 end 148
4 inter1 7 a ? {  b} 1 1560
4 inter1 8 a 0 购买了 region1 106
4 inter1 8 a 1 画作 region2 172
4 inter1 8 a 2 的 de1 196
4 inter1 8 a 3 美术馆 NP1 213
4 inter1 8 a 4 的 de2 3441
4 inter1 8 a 5 投资人 NP2 173
4 inter1 8 a 6 住在芝加哥。 end 172
4 inter1 8 a ? {b} 1 1853
4 inter1 9 a 0 讨厌 region1 120
4 inter1 9 a 1 证人 region2 164
4 inter1 9 a 2 的 de1 164
4 inter1 9 a 3 那个 dem 165
4 inter1 9 a 4 律师 NP1 164
4 inter1 9 a 5 的 de2 156
4 inter1 9 a 6 法庭 NP2 156
4 inter1 9 a 7 规则很多。 end 164
4 inter1 9 a ? { b} 1 4129
4 inter1 10 a 0 激怒了 region1 114
4 inter1 10 a 1 研究所 region2 164
4 inter1 10 a 2 的 de1 348
4 inter1 10 a 3 老师 NP1 172
4 inter1 10 a 4 的 de2 148
4 inter1 10 a 5 学生 NP2 164
4 inter1 10 a 6 住在学校。 end 636
4 inter1 10 a ? { b} 1 2293
4 inter1 11 a 0 暗杀了 region1 21
4 inter1 11 a 1 公司 region2 148
4 inter1 11 a 2 的 de1 172
4 inter1 11 a 3 客户 NP1 188
4 inter1 11 a 4 的 de2 212
4 inter1 11 a 5 总裁 NP2 180
4 inter1 11 a 6 离婚了。 end 180
4 inter1 11 a ? {b} 1 1465
4 inter1 12 a 0 被 passive 126
