11 inter1 1 a 0 激怒了 region1 1049523
11 inter1 1 a 1 老师 region2 602768
11 inter1 1 a 2 的 de1 451347
11 inter1 1 a 3 那个 dem 442796
11 inter1 1 a 4 学生 NP1 611168
11 inter1 1 a 5 的 de2 434923
11 inter1 1 a 6 研究所 NP2 475177
11 inter1 1 a 7 有三层楼。 end 466522
11 inter1 1 a ? {B} 1 3818271
11 inter1 2 a 0 嫁给了 region1 502933
11 inter1 2 a 1 电视台 region2 1794969
11 inter1 2 a 2 的 de1 459300
11 inter1 2 a 3 老板 NP1 555488
11 inter1 2 a 4 的 de2 747295
11 inter1 2 a 5 明星 NP2 579341
11 inter1 2 a 6 没读过大学。 end 418827
11 inter1 2 a ? {B} 1 2291860
11 inter1 3 a 0 被 passive 397390
11 inter1 3 a 1 家长们 region1 410507
11 inter1 3 a 2 殴打 region2 467256
11 inter1 3 a 3 的 de1 466239
11 inter1 3 a 4 那个 dem 483146
11 inter1 3 a 5 老师 NP1 402559
11 inter1 3 a 6 的 de2 403303
11 inter1 3 a 7 学校 NP2 379014
11 inter1 3 a 8 正在放暑假。 end 698717
11 inter1 3 a ? {B} 1 3814223
11 inter1 4 a 0 赶走 region1 515377
11 inter1 4 a 1 大使馆 region2 363396
11 inter1 4 a 2 的 de1 339420
11 inter1 4 a 3 公民 NP1 370958
11 inter1 4 a 4 的 de2 435478
11 inter1 4 a 5 员工 NP2 451000
11 inter1 4 a 6 没有结婚。 end 523316
11 inter1 4 a ? {B} 1 5995265
11 inter1 5 a 0 责骂 region1 102470
11 inter1 5 a 1 大使馆 region2 2067460
11 inter1 5 a 2 的 de1 739444
11 inter1 5 a 3 员工 NP1 491018
11 inter1 5 a 4 的 de2 443349
11 inter1 5 a 5 公民 NP2 851061
11 inter1 5 a 6 今天不上班。 end 635021
11 inter1 5 a ? {B} 1 4406352
11 inter1 6 a 0 撕破了 region1 566474
11 inter1 6 a 1 美术馆 region2 419556
11 inter1 6 a 2 的 de1 427110
11 inter1 6 a 3 画作 NP1 554531
11 inter1 6 a 4 的 de2 507400
11 inter1 6 a 5 投资人 NP2 458964
11 inter1 6 a 6 住在芝加哥。 end 603149
11 inter1 6 a ? {B} 1 5114148
11 inter1 7 a 0 被 passive 411243
11 inter1 7 a 1 医院 region1 626852
11 inter1 7 a 2 抢救 region2 530788
11 inter1 7 a 3 的 de1 434883
11 inter1 7 a 4 那个 dem 554648
11 inter1 7 a 5 推销员 NP1 850899
11 inter1 7 a 6 的 de2 426716
11 inter1 7 a 7 保险公司 NP2 522797
11 inter1 7 a 8 有20年历史。 end 578495
11 inter1 7 a ? {B} 1 3515096
11 inter1 8 a 0 拥抱了 region1 404951
11 inter1 8 a 1 学生 region2 371121
11 inter1 8 a 2 的 de1 403478
11 inter1 8 a 3 老师 NP1 427240
11 inter1 8 a 4 的 de2 403467
11 inter1 8 a 5 学校 NP2 427105
11 inter1 8 a 6 正在放暑假。 end 4795140
11 inter1 8 a ? {B} 1 2081416
11 inter1 9 a 0 嫁给了 region1 459888
11 inter1 9 a 1 电视台 region2 467446
11 inter1 9 a 2 的 de1 426974
11 inter1 9 a 3 明星 NP1 331346
